food,meal,diet,calories,protein,carbs,fat,fiber
Idli (3 pcs) + Sambar + Coconut Chutney,breakfast,vegetarian,310,10,58,5,4
Masala Dosa + Coconut Chutney,breakfast,vegetarian,380,8,55,14,3
Plain Dosa (2) + Sambar,breakfast,vegetarian,320,9,52,8,3
Rava Dosa (2) + Chutney,breakfast,vegetarian,350,7,48,14,2
Set Dosa (3) + Chutney Podi,breakfast,vegetarian,330,8,56,8,3
Uttapam (2) + Sambar,breakfast,vegetarian,360,10,58,9,4
Onion Uttapam (2) + Coconut Chutney,breakfast,vegetarian,370,9,56,11,4
Medu Vada (3) + Sambar + Chutney,breakfast,vegetarian,400,14,42,20,5
Pesarattu (2) + Ginger Chutney,breakfast,vegetarian,280,16,38,6,6
Appam (2) + Vegetable Stew,breakfast,vegetarian,340,8,52,10,3
Idiyappam (3) + Coconut Milk,breakfast,vegetarian,350,7,60,9,2
Pongal + Sambar + Chutney,breakfast,vegetarian,380,12,56,12,4
Rava Idli (3) + Chutney,breakfast,vegetarian,290,8,50,6,3
Neer Dosa (3) + Coconut Chutney,breakfast,vegetarian,260,5,48,5,2
Puttu + Kadala Curry (Kerala),breakfast,vegetarian,390,14,62,9,7
Ragi Mudde + Sambar,breakfast,vegetarian,300,8,60,3,6
Kanchipuram Idli (3) + Chutney,breakfast,vegetarian,330,10,55,7,4
Aloo Paratha (2) + Dahi + Pickle,breakfast,vegetarian,450,12,56,20,4
Paneer Paratha (2) + Butter + Curd,breakfast,vegetarian,480,20,48,24,3
Gobi Paratha (2) + Pickle + Lassi,breakfast,vegetarian,430,11,54,18,4
Mooli Paratha (2) + White Butter + Curd,breakfast,vegetarian,420,10,52,18,4
Methi Paratha (2) + Curd,breakfast,vegetarian,400,12,50,16,5
Sattu Paratha (2) + Chutney,breakfast,vegetarian,410,16,52,14,5
Chole Bhature (2 Bhature),breakfast,vegetarian,550,18,64,24,6
Poori (4) + Aloo Sabzi,breakfast,vegetarian,480,12,62,20,4
Bedmi Poori (2) + Aloo Sabzi,breakfast,vegetarian,520,14,58,26,5
Stuffed Kulcha (2) + Chole,breakfast,vegetarian,540,18,62,24,5
Aaloo Puri + Halwa (Navratri style),breakfast,vegetarian,500,10,68,22,3
Missi Roti (3) + Dahi,breakfast,vegetarian,380,16,52,10,6
Makki ki Roti (2) + Sarson ka Saag,breakfast,vegetarian,370,10,52,14,6
Poha + Sev + Lemon (Indori),breakfast,vegetarian,300,7,50,8,3
Kanda Poha + Chai,breakfast,vegetarian,285,7,48,8,3
Upma + Coconut Chutney,breakfast,vegetarian,280,8,46,7,4
Rava Upma + Lemon + Peanuts,breakfast,vegetarian,300,9,44,10,3
Dhokla (6 pcs) + Green Chutney,breakfast,vegetarian,270,10,42,6,3
Khandvi (6 pcs) + Tadka,breakfast,vegetarian,220,9,30,7,2
Thepla (3) + Dahi + Pickle,breakfast,vegetarian,370,12,48,14,4
Methi Thepla (3) + Aam Ras,breakfast,vegetarian,420,11,58,14,5
Misal Pav (Maharashtrian),breakfast,vegetarian,450,18,56,16,8
Sabudana Khichdi + Peanuts,breakfast,vegetarian,350,6,58,11,2
Thalipeeth (2) + White Butter,breakfast,vegetarian,360,12,46,14,5
Batata Vada (2) + Pav + Chutney,breakfast,vegetarian,420,10,56,18,3
Dabeli (2),breakfast,vegetarian,380,8,52,14,3
Luchi (4) + Cholar Dal,breakfast,vegetarian,470,14,60,20,5
Radhaballabhi (2) + Cholar Dal,breakfast,vegetarian,440,14,52,20,5
Oatmeal + Banana + Honey + Almonds,breakfast,vegetarian,340,10,58,8,6
Overnight Oats + Chia + Mixed Fruits,breakfast,vegetarian,320,12,50,9,7
Moong Dal Chilla (2) + Green Chutney,breakfast,vegetarian,260,16,32,7,5
Besan Chilla (2) + Mint Chutney,breakfast,vegetarian,250,14,28,9,4
Ragi Porridge + Jaggery + Nuts,breakfast,vegetarian,310,10,52,7,6
Ragi Dosa (2) + Chutney,breakfast,vegetarian,280,8,48,6,5
Jowar Flakes + Milk + Banana,breakfast,vegetarian,300,10,52,6,5
