age,gender,height_cm,weight_kg,activity_level,purpose,bmi,bmi_category,body_fat_pct,lean_body_mass_kg,ideal_weight_kg,weight_diff_from_ideal,target_bmi,target_weight_kg,weight_change_needed,estimated_weeks_to_goal,bmr,tdee,calorie_adjustment,calories_needed,protein_g,carbs_g,fat_g,water_ml,fiber_g,sleep_hours
44,Male,178.9,88.3,sedentary,weight_gain,27.59,Overweight,27.0,64.5,74.0,14.3,28.6,91.5,3.2,9,1777,2132,350,2523,147,308,78,3090.0,35,7.5
68,Female,162.6,50.6,lightly_active,weight_loss,19.14,Normal,33.2,33.8,54.7,-4.1,18.5,48.9,-1.7,2,1053,1448,-300,1200,92,143,30,2020.0,17,7.0
25,Female,161.0,51.3,moderately_active,weight_loss,19.79,Normal,24.1,38.9,53.3,-2.0,18.8,48.7,-2.6,4,1224,1897,-300,1624,117,199,40,2300.0,23,8.0
32,Female,165.9,46.2,lightly_active,weight_loss,16.79,Moderate Thinness,22.1,36.0,57.7,-11.5,18.5,50.9,4.7,7,1166,1603,-300,1308,106,149,32,1870.0,18,7.5
42,Male,177.9,75.0,sedentary,muscle_gain,23.7,Normal,21.9,58.6,73.1,1.9,25.2,79.8,4.8,19,1648,1978,350,2318,153,282,64,2620.0,32,7.5
21,Male,169.5,70.7,sedentary,maintain,24.61,Normal,18.2,57.8,65.5,5.2,24.6,70.7,0.0,0,1647,1976,0,1935,73,276,60,2470.0,27,8.0
39,Male,172.6,45.3,sedentary,weight_loss,15.21,Severe Thinness,11.0,40.3,68.3,-23.0,18.5,55.1,9.8,14,1301,1561,-300,1249,108,134,31,1590.0,17,7.5
32,Female,155.0,60.4,lightly_active,weight_loss,25.14,Overweight,32.1,41.0,47.9,12.5,22.6,54.3,-6.1,9,1253,1723,-500,1214,134,102,30,2360.0,17,7.5
66,Female,167.9,69.1,sedentary,muscle_gain,24.51,Normal,39.2,42.0,59.5,9.6,26.0,73.3,4.2,17,1261,1513,250,1734,137,188,48,2420.0,24,7.0
26,Female,166.9,60.4,sedentary,maintain,21.68,Normal,26.6,44.3,58.6,1.8,21.7,60.4,0.0,0,1344,1613,0,1631,82,211,51,2110.0,23,7.5
68,Male,166.0,57.3,lightly_active,weight_gain,20.79,Normal,24.4,43.3,62.3,-5.0,22.8,62.8,5.5,16,1287,1770,450,2201,90,307,68,2260.0,31,7.0
39,Female,164.7,67.2,lightly_active,weight_loss,24.77,Normal,33.3,44.8,56.6,10.6,23.8,64.6,-2.6,4,1342,1845,-400,1448,147,136,35,2600.0,20,7.5
31,Female,162.7,72.9,sedentary,weight_gain,27.54,Overweight,34.8,47.5,54.8,18.1,28.5,75.4,2.5,7,1416,1699,350,2036,109,258,63,2550.0,29,7.5
25,Male,169.5,60.6,sedentary,weight_loss,21.09,Normal,14.9,51.6,65.5,-4.9,20.1,57.7,-2.9,4,1521,1825,-300,1503,142,150,37,2120.0,21,8.0
18,Male,174.8,65.6,sedentary,muscle_gain,21.47,Normal,13.7,56.6,70.3,-4.7,24.0,73.3,7.7,31,1635,1962,350,2276,132,295,63,2300.0,32,8.0
20,Male,179.6,72.8,sedentary,muscle_gain,22.57,Normal,15.5,61.5,74.6,-1.8,25.1,81.0,8.2,33,1733,2080,350,2414,138,315,67,2550.0,34,8.0
51,Male,180.0,73.6,moderately_active,weight_loss,22.72,Normal,22.8,56.8,75.0,-1.4,21.7,70.3,-3.3,5,1605,2488,-300,2182,136,290,53,3080.0,31,7.5
20,Female,175.0,64.2,lightly_active,weight_loss,20.96,Normal,24.4,48.5,66.0,-1.8,20.0,61.2,-3.0,4,1452,1996,-300,1699,150,180,42,2500.0,24,8.0
42,Male,174.6,81.9,lightly_active,weight_loss,26.87,Overweight,25.7,60.9,70.1,11.8,24.4,74.4,-7.5,11,1697,2333,-500,1822,157,197,45,3120.0,26,7.5
27,Male,172.5,66.6,lightly_active,muscle_gain,22.38,Normal,16.9,55.3,68.2,-1.6,24.9,74.1,7.5,30,1594,2192,350,2543,146,330,71,2580.0,36,7.5
